City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Narasaraopet,100,IN,1563923009,80,16.24,80.05,79.87,3.02
Rosita,100,NI,1563923009,94,13.92,-84.4,75.19,1.43
San Ramon,40,NI,1563923009,61,12.92,-85.84,80.6,4.7
Ushuaia,40,AR,1563923009,74,-54.81,-68.31,33.8,18.34
Bluff,0,AU,1563923009,50,-23.58,149.07,68.17,3.53
Longyearbyen,75,NO,1563923010,81,78.22,15.63,46.4,3.36
Saint George,40,GR,1563923010,69,39.45,22.34,82.0,2.04
Katangli,100,RU,1563923010,95,51.71,143.23,49.27,22.17
Husavik,82,CA,1563922808,33,50.56,-96.99,84.0,3.0
Victoria,75,BN,1563922995,83,5.28,115.24,78.8,3.36
Fuxin,50,CN,1563923011,68,42.02,121.65,82.03,6.02
Uzunovo,90,BG,1563923011,88,41.84,25.1,69.8,9.17
Oktyabrskiy,90,RU,1563923011,88,55.61,37.97,64.4,2.24
Touros,20,BR,1563922759,94,-5.2,-35.46,75.2,3.36
Guerrero Negro,91,MX,1563923011,77,27.97,-114.04,70.15,8.5
Hefei,0,CN,1563923012,88,31.82,117.22,82.4,4.47
Puerto Ayacucho,40,CO,1563923012,94,5.66,-67.63,75.2,3.56
Rawson,0,AR,1563923012,66,-43.3,-65.11,39.55,0.92
Hithadhoo,98,MV,1563923012,72,-0.6,73.08,83.11,8.12
Hermanus,94,ZA,1563923013,95,-34.42,19.24,50.0,11.01
Atuona,37,PF,1563923013,73,-9.8,-139.03,80.77,16.37
Vostok,100,RU,1563923014,98,46.45,135.83,67.27,4.09
Sao Filipe,38,CV,1563922729,86,14.9,-24.5,73.93,20.74
Albany,75,US,1563922971,53,42.65,-73.75,75.99,4.7
Port Alfred,41,ZA,1563923014,55,-33.59,26.89,57.99,11.01
Ancud,40,CL,1563923015,81,-41.87,-73.83,44.6,5.82
Santa Cruz Cabralia,75,BR,1563923015,73,-16.28,-39.02,75.2,6.93
Puerto Ayora,20,EC,1563922987,61,-0.74,-90.35,78.8,6.93
Saint-Pierre,0,FR,1563923016,41,48.95,4.24,77.0,4.7
Te Anau,0,NZ,1563923016,79,-45.41,167.72,43.33,3.33
Caravelas,7,BR,1563923016,82,-17.73,-39.27,72.67,8.55
Busselton,100,AU,1563923017,69,-33.64,115.35,54.0,10.69
Vestmannaeyjar,99,IS,1563922987,92,63.44,-20.27,53.59,6.17
Barrow,17,AR,1563923017,45,-38.31,-60.23,40.63,4.36
Rudnogorsk,70,RU,1563923017,51,57.27,103.75,69.97,0.87
Punta Arenas,20,CL,1563923017,80,-53.16,-70.91,33.8,9.17
Ventspils,0,LV,1563923018,100,57.39,21.56,55.4,7.49
Kapaa,75,US,1563923018,66,22.08,-159.32,86.0,17.22
Oromocto,75,CA,1563923018,56,45.85,-66.47,71.6,2.24
Rikitea,12,PF,1563923018,76,-23.12,-134.97,70.87,16.08
Namibe,24,AO,1563923019,76,-15.19,12.15,65.47,12.35
Sterling,40,US,1563923019,64,39.0,-77.4,75.99,8.05
Kodiak,40,US,1563923019,50,39.95,-94.76,82.4,6.93
Tarakan,99,ID,1563923019,83,3.3,117.63,79.33,5.66
Mancora,0,PE,1563923020,290,-4.1,-81.05,62.6,10.29
Jamestown,100,AU,1563923020,94,-33.21,138.6,51.61,9.4
Brae,2,GB,1563923020,93,60.4,-1.35,57.2,3.36
Tiebissou,20,CI,1563922873,88,7.16,-5.23,75.2,4.7
Bosaso,88,SO,1563923020,62,11.28,49.18,89.77,7.56
Port Elizabeth,90,US,1563923021,88,39.31,-74.98,75.99,6.93
Senneterre,75,CA,1563923021,59,48.39,-77.24,62.6,9.17
Provideniya,90,RU,1563923021,93,64.42,-173.23,50.0,6.71
East London,49,ZA,1563923021,41,-33.02,27.91,55.03,19.84
Qaanaaq,84,GL,1563923022,62,77.48,-69.36,42.25,6.22
Antalaha,10,MG,1563923022,95,-14.9,50.28,58.09,4.81
Danielskuil,0,ZA,1563923022,76,-28.19,23.54,39.19,31.9
Vavozh,0,RU,1563923022,97,56.77,51.93,54.13,3.65
New Norfolk,40,AU,1563923022,73,-42.78,147.06,48.0,9.17
